date,wrp,sarscov2,bcov_recovery,pmmov,flow
2021-02-28,Kirie,46391.08864233144,0.06549155188514212,410986066.59011066,86.43
2021-02-28,Lemont,35755.844545377644,0.05399683907651125,292836373.65022725,4.13
2021-02-28,OBrien,115840.87905722429,0.10287914228148785,520972951.1060393,385.0
2021-02-28,Stickney SWS,116340.47140390216,0.013175919850679611,185633657.06837305,665.0
2021-02-28,Stickney WS,36981.049681692064,0.04940537565285264,496174702.2962611,580.0
2021-03-02,Calumet,29605.781520409364,0.11180100818093182,629004798.3901756,369.0
2021-03-02,Egan,33.5,0.006535133266561126,150651882.7018235,30.5
2021-03-02,Hanover,50271.22096483545,0.019311336954274987,351941644.9786822,12.74
2021-03-02,Kirie,12125.839653123268,0.01190826252418674,223224204.97663963,51.6
2021-03-02,Lemont,33594.9055725318,0.049761285785857645,311342231.8267821,4.2
2021-03-02,OBrien,61578.06229829305,0.051069162897894614,586312218.1437906,296.0
2021-03-02,Stickney SWS,17063.33159834576,0.00867079983706245,112962418.63863398,358.0
2021-03-02,Stickney WS,76525.79412480575,0.0572456807305284,508796688.0674634,580.0
2021-03-07,Calumet,114326.59156351084,0.08593443094628951,317375532.09962285,350.0
2021-03-07,OBrien,70940.40010711963,0.036460025623046295,253827345.70076644,204.0
2021-03-07,Stickney SWS,27627.3323630893,0.032470338890253025,184014477.6235836,468.0
2021-03-07,Stickney WS,17601.5613071477,0.040143230715431334,180152398.9493405,408.0
2021-03-09,Calumet,68226.96074106148,0.051886932333451874,648974086.5217348,380.0
2021-03-09,OBrien,81198.949276193,0.02455922960923768,843498590.9403393,244.0
